address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Main Street, Gisr El Swis",Stores,,,26 ,Super lux,Main Street,,,"1,040,000"
"Main Street, Gisr El Swis",Apartments,2,1,115 ,2,2020,Super lux,Main Street,"600,000"
"Main Street, Gisr El Swis",Apartments,2,1,108 ,4,2020,Semi Finished,Main Street,"280,000"
"Main Street, Gisr El Swis",Apartments,3,1,110 ,4,2020,Super lux,Main Street,"260,000"
"Tegaryen City, Gisr El Swis",Apartments,3,1,120 ,10,2020,Super lux,Main Street,"490,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,4,2,165 ,1,Super lux,,,"900,000"
"Main Street, Gisr El Swis",Stores,,,37 ,Super lux,Main Street,,,"425,600"
"New Nozha, New Nozha",Apartments,3,2,150 ,5,Without Finish,Main Street,,"250,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,2,2,114 ,8,Super lux,,,"1,200,000"
"Main Street, Gisr El Swis",Apartments,3,3,200 ,2,2020,Super lux,Main Street,"1,050,000"
"Almaza, Almaza",Apartments,3,3,225 ,3,Super lux,,,"2,900,000"
"Main Street, Gisr El Swis",Apartments,2,1,200 ,5,2020,Lux,Main Street,"450,000"
"Main Street, Gisr El Swis",Roof,3,1,145 ,10,2020,Super lux,Main Street,"400,000"
"Main Street, Gisr El Swis",Apartments,3,2,110 ,3,2020,Lux,Main Street,"800,000"
"Other Neighborhoods In Heliopolis - Masr El Gedida, Heliopolis - Masr El Gedida",Apartments,2,1,85 ,2,Lux,,,"800,000"
