address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,88 ,7,2021,Semi Finished,Main Street,"550,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,190 ,3,2021,Without Finish,Pool,"1,550,000"
"Al Moshir Tantawy Axis, Nasr City",Stores,,,25 ,Semi Finished,Main Street,,,"480,000"
"Hosni Ahmed Khalaf St., El Manteqah El Sadsa",Apartments,3,2,185 ,1,2016,Semi Finished,Other,"1,650,000"
"Mohamed Talaat Salem St., 1st Zone",Apartments,3,2, 170 ,11,1998,Super lux,Side Street,"1,400,000"
"Ahmed Fakhry, Nasr City",Apartments,4,2,200 ,9,2008,Super lux,,"1,850,000"
"El Fatah City, El Sefarat Neighborhood",Apartments,2,2,126 ,5,1998,Extra super lux,Side Street,"900,000"
"True Compound - El Mansour Development, Compounds in Nasr City",Pharmacy,,,70 ,Semi Finished,Main Street,,,"2,124,000"
"Ahmed Fakhry, Nasr City",Apartments,3,1,120 ,3,1987,Super lux,Main Street,"1,050,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,2,130 ,11,Extra super lux,Main Street,,"1,000,000"
"Saeed Zakareya St., El Sefarat Neighborhood",Apartments,3,3,220 ,9,2000,Super lux,Main Street,"1,550,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,88 ,3,2021,Semi Finished,Main Street,"520,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,125 ,5,2021,Semi Finished,Main Street,"740,000"
"Abd El-Aziz Eissa St., 9th Zone",Apartments,3,2,190 ,2,2020,Without Finish,Garden,"1,550,000"
"Makram Ebeid, Nasr City",Apartments,3,1,160 ,10,2001,Super lux,Garden,"1,750,000"
"Abd Al Hay Hegazi St., 8th Zone",Apartments,3,2,145 ,3,1986,Super lux,,"1,200,000"
"Ahmed Fakhry, Nasr City",Apartments,4,2,200 ,9,2008,Super lux,Side Street,"1,850,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,145 ,5,2021,Semi Finished,Main Street,"850,000"
"Rabaa Investment, Nasr City",Apartments,2,1,160 ,9,2030,Super lux,Corner,"1,800,000"
"Hassan El Maamoun, Nasr City",Tower,,,720 ,2020,Super lux,Main Street,,"62,000,000"
"Housny Othman St., El Sefarat Neighborhood",Duplex,3,2,200 ,8,2006,Extra super lux,Main Street,"1,650,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,3,2,150 ,2,2021,Semi Finished,Main Street,"1,050,000"
"Al Moshir Tantawy Axis, Nasr City",Stores,,,30 ,Semi Finished,Main Street,,,"700,000"
"Al Moshir Tantawy Axis, Nasr City",Stores,,,30 ,Semi Finished,Main Street,,,"600,000"
"Masakn El Dobat, Zahraa Nasr City",Apartments,2,1,86 ,4,1998,Lux,Corner,"535,000"
"Nour Al Din Bahgat St., 8th Zone",Apartments,3,2,220 ,4,2018,Super lux,Other,"1,800,000"
"Abou Dawoud El Zaheri, Nasr City",Apartments,1,1,50 ,3,2021,Super lux,Main Street,"1,150,000"
"Abou Dawoud El Zaheri, Nasr City",Pharmacy,,,230 ,2021,Without Finish,Main Street,,"10,810,000"
مكرم عبيد ... ستي سنتر مول,Apartments,4,4,432 ,9,2008,Extra super lux,Main Street,"7,000,000"
"Al Moshir Tantawy Axis, Nasr City",Apartments,2,1,88 ,7,Semi Finished,Main Street,,"515,000"
