address,type,rooms,bathrooms,area,floor,year_built,finishing,view,price
"Hasan Abd El Wahab St., Diplomats",Apartments,3,3,230 ,4,2016,Super lux,Garden,"3,500,000"
"Bait El Watan, 6th of October",Apartment with Garden,3,3,175 ,Ground,2022,Semi Finished,Corner,"1,347,500"
شارع الدكتور احمد محمد ابراهيم متفرع من عباس العقاد ومكرم عبيد,Apartments,3,1,125 ,9,Super lux,Main Street,,"850,000"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartments,3,3,200 ,1,2023,Semi Finished,Main Street,"1,600,000"
"Sky Capital Compound - Better House, R7",Apartments,3,2,190 ,3,Super lux,Garden,,"2,369,700"
بالقرب من شارع التسعين التجمع الخامس,Apartments,3,2,165 ,2,2020,Semi Finished,,"1,468,500"
Mostakbal City,Apartments,4,1,188 ,2,2023,Semi Finished,Main Street,"2,654,000"
6th of October,Apartment with Garden,2,3,194 ,2,2020,Extra super lux,Main Street,"4,685,100"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartments,3,3,177 ,1,2023,Semi Finished,Main Street,"1,392,100"
"Bait El Watan, El Sheikh Zayed City",Apartments,3,3,259 ,1,2021,Semi Finished,Corner,"2,260,000"
"Bait El Watan, El Sheikh Zayed City",Apartments,3,3,248 ,1,2021,Extra super lux,Corner,"2,170,000"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartment with Garden,3,3,165 ,1,2023,Semi Finished,Main Street,"1,357,500"
6th Of October,Penthouse,3,2,167 ,2,2021,Semi Finished,Garden,"3,074,741"
New Administrative Capital,Apartments,2,2,147 ,2,2022,Semi Finished,Garden,"3,421,000"
New Cairo,Apartments,3,3,128 ,Ground,2022,Extra super lux,Main Street,"2,928,448"
6 October,Apartments,2,1,167 ,9,2023,Extra super lux,Main Street,"4,729,287"
New Administrative Capital,Apartments,2,1,138 ,1,2019,Extra super lux,Main Street,"2,111,400"
El Shorouk City,Duplex,3,3,290 ,Ground,2024,Lux,Main Street,"3,162,500"
"Hai El Ashgar - Featured Neighborhood, Badr City",Apartments,3,2,140 ,2,2021,Without Finish,Side Street,"400,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,4,3,169 ,4,2021,Semi Finished,Garden,"1,740,700"
"The City Valley Compound - Master Group, New Capital Compounds",Apartments,3,3,200 ,4,2024,Semi Finished,Garden,"1,955,000"
"Seventh Neighborhood, Seventh Neighborhood",Apartments,3,3,187 ,2,2022,Semi Finished,Main Street,"1,589,500"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,4,3,170 ,4,2020,Semi Finished,Garden,"2,200,000"
"El Banafsag 12, El Banafsag",Duplex,4,4,331 ,Ground,2021,Semi Finished,Garden,"2,550,000"
"Bait El Watan, El Sheikh Zayed City",Apartments,3,3,175 ,5,2024,Semi Finished,Main Street,"1,382,500"
ElShorok,Apartment with Garden,3,3,179 ,Ground,2020,Semi Finished,Main Street,"2,687,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,3,3,169 ,4,2021,Semi Finished,Garden,"1,740,700"
vinci -misr italia,Duplex,4,4,324 ,2,2020,Semi Finished,Garden,"3,496,455"
"New Narges, New Cairo - Fifth Settlement - Tagamoa",Apartments,3,3,165 ,3,2022,Semi Finished,Main Street,"1,353,000"
"Bait El Watan, El Sheikh Zayed City",Apartment with Garden,2,3,225 ,Ground,2021,Super lux,Corner,"2,400,000"
"Sixteenth Neighborhood, El Sheikh Zayed City",Apartments,3,2,168 ,1,2022,Semi Finished,Main Street,"1,251,600"
New Cairo,Apartments,2,2,165 ,2,2022,Semi Finished,Garden,"1,402,500"
"Fifth Neighbourhood, El Sheikh Zayed City",Duplex,4,3,300 ,Ground,2021,Semi Finished,Main Street,"2,100,000"
"True Gate Compound - El Mansour Development, Compounds in Nasr City",Apartments,3,2,110 ,4,2020,Semi Finished,,"853,160"
التجمع الخامس,Apartments,2,2,110 ,1,2021,Semi Finished,Main Street,"1,348,000"
"Scene 7 Compound - Akam, New Capital Compounds",Apartments,3,3,169 ,4,2021,Semi Finished,Garden,"1,740,700"
"First Neighborhood, Bait El Watan",Apartments,3,1,140 ,Ground,2023,Semi Finished,Main Street,"805,000"
"Bait El Watan, El Sheikh Zayed City",Apartments,3,3,180 ,2,2021,Semi Finished,Corner,"1,620,000"
New Administrative Capital,Apartments,3,1,46 ,4,2024,Extra super lux,Main Street,"1,150,000"
"Bait El Watan, El Sheikh Zayed City",Apartment with Garden,3,2,165 ,1,2021,Semi Finished,Main Street,"1,450,000"
New Administrative Capital,Apartments,2,1,50 ,4,2023,Extra super lux,Main Street,"1,250,000"
"El Oubour, El Oubour",Apartments,2,2,101 ,2,2021,Super lux,Garden,"808,000"
"Investors Association, October Gardens",Apartments,2,1,90 ,2,2021,Semi Finished,Garden,"385,000"
Elsheikh Zayed,Apartments,3,3,192 ,2,2020,Extra super lux,Main Street,"9,177,000"
New Administrative Capital,Apartments,3,1,44 ,4,2023,Extra super lux,Main Street,"1,100,000"
"North Rehab, Rehab",Apartments,3,2,178 ,2,2024,Semi Finished,Main Street,"1,287,600"
"Midtown Condo Compound - Better Home, R7",Apartments,3,3,165 ,3,2020,Semi Finished,Garden,"1,900,000"
New Cairo,Apartment with Garden,4,2,233 ,1,2020,Extra super lux,Main Street,"4,723,000"
"District 300, Northern Expansions",Apartments,3,2,150 ,2,2022,Semi Finished,Main Street,"750,000"
"Neighbourhood 4, Hai El-Morgan - Fourth Neighborhood",Apartments,3,3,235 ,1,2021,Semi Finished,Other,"1,200,000"
"Mountain View iCity Compound - DMG, Compounds in New Cairo",Duplex,3,3,150 ,3,2024,Super lux,,"2,300,000"
"El Maadi Ring Road, El Maadi",Apartments,3,1,118 ,4,2019,Super lux,Main Street,"1,117,660"
بالقرب من شارع التسعين التجمع الخامس,Apartments,3,3,130 ,2020,Semi Finished,,,"1,066,000"
شقه للبيع لقطه بالمرحله الاولي بجوار الخدمات اقل من سعر السوق 150 الف,Apartments,2,1,105 ,2,2013,Lux,Side Street,"1,250,000"
New Cairo,Apartments,2,2,150 ,1,2022,Semi Finished,Main Street,"3,263,000"
"Second Zone Buildings, Madinaty",Apartments,2,1,106 ,5,Lux,Garden,,"1,550,000"
قطعه 102,Apartments,3,2,145 ,2,2020,Semi Finished,,"797,500"
"Amorada - Afaq Developments, Compounds in New Cairo",Apartments,3,3,191 ,3,2021,Extra super lux,,"2,820,000"
"Sakaliya St., El Manteqah El Sadsa",Apartments,4,3,250 ,4,2015,Super lux,Side Street,"2,800,000"
"Stone Residence Compound - PRE, Compounds in New Cairo",Apartments,3,3,150 ,2,Semi Finished,,,"2,330,000"
"Second Zone Buildings, Madinaty",Apartments,2,1,106 ,6,Lux,Garden,,"1,450,000"
"El Hosary, 6th of October",Apartments,3,3,220 ,2,2020,Semi Finished,Main Street,"2,000,000"
New Heliopolis,Apartments,3,2,132 ,2,2020,Semi Finished,Garden,"1,056,000"
"First Zone Buildings, First Zone Buildings",Apartments,2,1,100 ,2,2013,Super lux,Other,"1,270,000"
New Cairo,Apartment with Garden,1,2,63 ,Ground,2021,Extra super lux,Main Street,"1,330,900"
"Bait El Watan Ninth Neighborhood, 6th of October",Apartments,3,2,198 ,1,2022,Semi Finished,Main Street,"1,346,400"
"Bait El Watan, 6th of October",Apartments,3,3,175 ,5,2021,Semi Finished,Main Street,"1,050,000"
"3rd District, El Hadabah El Wosta",Apartments,3,2,145 ,1,2021,Semi Finished,Garden,"825,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,3,3,150 ,1,2030,Semi Finished,Main Street,"1,730,250"
"Degla land mark, جنوب مدينة نصر بين الواحة ومحور المشير طنطاوي",Apartments,3,3,147 ,3,2023,Super lux,Pool,"1,770,000"
"Ivy Residence, Compounds in Elshorouk City",Apartment with Garden,2,2,125 ,Ground,2021,Semi Finished,Garden,"1,480,250"
"Bait El Watan, 6th of October",Apartments,3,3, 209 ,1,2022,Semi Finished,Main Street,"1,500,300"
كمبوند فيفث سكوير - المراسم، كمبوند بالتجمع الخامس,Apartments,3,3,205 ,2,Super lux,Garden,,"4,250,000"
"Fifth Neighborhood, Bait El Watan",Apartments,3,2,165 ,1,2024,Semi Finished,Garden,"973,500"
حي المستثمرين,Duplex,5,3,260 ,1,2021,Semi Finished,Main Street,"1,100,000"
"Botanica Compound - New Generation Development, New Capital Compounds",Apartments,3,3,149 ,4,2021,Semi Finished,Garden,"1,713,500"
"Regents Park Compound - Al Dawlia, Compounds in New Cairo",Penthouse,3,3,212 ,3,Semi Finished,Garden,,"3,600,000"
"Toman Bai St, El Zaytoun El Sharkeya",Apartments,2,1,140 ,9,1986,Super lux,Main Street,"1,250,000"
"Maadi View Compound - Maadi Group, Compounds in Elshorouk City",Apartments,2,3,129 ,1,2021,Semi Finished,Garden,"1,632,750"
"Fifth Neighborhood, Bait El Watan",Apartments,3,3,189 ,2,2024,Semi Finished,Main Street,"1,115,100"
"El Banafsag Omarat, El Banafsag",Apartments,3,2,180 ,1,2016,Super lux,Main Street,"1,650,000"
"Akhnaton St., Fifth Neighborhood",Apartments,3,2,190 ,1,2012,Super lux,Garden,"1,850,000"
التجمع الخامس بجوار الجامعه الامريكيه كمبوند اصاله,Apartments,3,3,195 ,4,2015,Semi Finished,Garden,"2,340,000"
"Mivida Compound - Emaar, Compounds in New Cairo",Apartments,2,3,156 ,2,2020,Extra super lux,Side Street,"3,500,000"
الحي المتميز 2,Duplex,4,4,285 ,1,2022,Semi Finished,Pool,"1,900,000"
"Fifth Neighborhood, Bait El Watan",Apartments,2,2,127 ,1,2023,Semi Finished,Garden,"736,600"
"El Bustan Neighborhood, Ganob El Ahyaa",Apartments,3,3,175 ,2,2022,Semi Finished,Garden,"1,100,000"
"The Address East Compound - Dorra, Compounds in New Cairo",Apartments,3,2,140 ,Ground,2021,Super lux,Main Street,"2,050,000"
الحي المتميز 2,Apartment with Garden,3,2,150 ,Ground,2022,Semi Finished,Main Street,"1,030,000"
"Neighbourhood 2A, Hai El Massa - Second Neighborhood West",Apartment with Garden,2,1,100 ,Ground,2021,Semi Finished,Garden,"560,000"
"Second Neighborhood, Bait El Watan",Apartments,3,2,130 ,Ground,Semi Finished,Main Street,,"920,000"
"District 2, New Heliopolis",Apartments,3,2,117 ,1,2020,Semi Finished,Side Street,"620,100"
"(South Academy (A, South of Academy",Duplex,3,2,175 ,1,2020,Super lux,Garden,"2,400,000"
"Kornich Al Manyal, Manial",Apartments,3,2,140 ,10,2014,Lux,Nile,"2,100,000"
"3rd District, El Hadabah El Wosta",Apartments,4,2,200 ,1,2020,Extra super lux,Corner,"1,300,000"
"Fourth Neighborhood, Bait El Watan",Apartments,3,3,176 ,2,Semi Finished,Other,,"1,144,000"
"Dream Land St, 6th of October",Apartments,3,3,185 ,1,2020,Semi Finished,Pool,"1,850,000"
"Neighbourhood 3, Hai El Zohour - Second Zone",Apartment with Garden,3,3,205 ,1,2019,Semi Finished,Garden,"1,000,000"
"La Mirada El Mostakbal Compound - La Mirada, Compounds in El Mostakbal City",Apartments,2,2,115 ,2,2021,Semi Finished,Main Street,"1,400,000"
"Dream Land St, 6th of October",Apartment with Garden,4,4,226 ,Ground,2020,Semi Finished,Other,"2,260,000"
"Al Karma Gates, Expansion Of El Sheikh Zayed City",Apartments,4,3,168 ,3,2020,Semi Finished,Garden,"2,100,000"
"Abadir St, Al Zaytoun Al Gharbeyah",Apartments,3,2,175 ,8,Super lux,,,"1,325,000"
"Downtown, New Administrative Capital",Studio,1,1,33 ,12,2021,Semi Finished,Garden,"759,000"
"Fifth Neighborhood, Bait El Watan",Apartments,3,3,217 ,Ground,Semi Finished,Main Street,,"1,470,000"
"Mohammad Othman St., East of Academy",Duplex,4,4,360 ,1,2020,Super lux,Garden,"3,750,000"
"October Gardens, October Gardens",Apartments,3,2,150 ,3,Semi Finished,Main Street,,"600,000"
"New Heliopolis, New Heliopolis",Apartments,3,2,145 ,1,2023,Semi Finished,Garden,"812,000"
"Gharb El Golf, New Cairo - Fifth Settlement - Tagamoa",Duplex,3,3,400 ,Ground,2018,Super lux,Side Street,"5,000,000"
كمبوند بالعاصمة الادارية الجديدة/دي جويا,Apartment with Garden,2,1,181 ,2,2020,Semi Finished,,"1,210,000"
"Lotus South, Lotus",Apartments,3,2,130 ,3,Semi Finished,Side Street,,"1,000,000"
"El Mokattam Street, Mokattam",Duplex,4,3,350 ,2,2016,Super lux,Side Street,"2,350,000"
"October Gardens, October Gardens",Apartments,3,2,142 ,1,2021,Semi Finished,Corner,"640,000"
"The Address, Compounds in Sheikh Zayed",Apartments,3,2,134 ,1,2020,Super lux,Pool,"2,400,000"
"DR Abdallh El arabi, Seventh District",Apartments,3,2,190 ,1,2021,Super lux,Main Street,"2,000,000"
"Sixth Neighborhood, Bait El Watan",Apartment with Garden,3,3,200 ,Ground,2021,Semi Finished,Main Street,"1,140,000"
"The Address, Compounds in Sheikh Zayed",Apartment with Garden,3,3,203 ,Ground,2019,Extra super lux,Garden,"5,000,000"
"Zayed Dunes, Compounds in Sheikh Zayed",Apartments,3,3,198 ,1,2020,Semi Finished,Garden,"2,100,000"
"Lotus South, Lotus",Apartments,3,2,154 ,2,Semi Finished,Other,,"1,139,600"
"El Asmarat Neighborhood, Mokattam",Duplex,6,3,288 ,1,2019,Super lux,Main Street,"2,160,000"
"Diar 2 Compound - Tameer Arabian, Compounds in 6 October",Penthouse,3,3,200 ,3,Semi Finished,Garden,,"2,480,000"
"Seventh Neighborhood, Seventh Neighborhood",Apartment with Garden,3,3,225 ,Ground,2021,Super lux,Main Street,"1,400,000"
"Touristic Area B, October Gardens",Apartments,3,2,135 ,1,2021,Semi Finished,Other,"540,000"
"Neighborhood 9th, El Ahyaa",Apartments,3,3,200 ,1,2021,Semi Finished,Main Street,"1,500,000"
بجوار صن كابيتال,Penthouse,3,3,188 ,3,2021,Semi Finished,Main Street,"977,600"
"Neighbourhood 3, Hai El Banafsg - Ninth Zone",Apartments,3,2,185 ,3,2016,Semi Finished,Garden,"1,050,000"
"Madkour, El Haram",Apartments,3,2,155 ,7,2010,Super lux,Main Street,"770,000"
"Touristic Area B, October Gardens",Apartment with Garden,3,3,160 ,1,2022,Semi Finished,Other,"640,000"
"Neighbourhood 4, Hai Gardinia - Fourth Zone",Apartments,2,1,100 ,Ground,2018,Semi Finished,Back,"440,000"
"Fifth Square Mall - AlMarasem Development, Compounds in New Cairo",Apartments,1,2,100 ,Ground,Extra super lux,,,"2,099,687"
"Bitcho American City, Compounds in Maadi",Apartments,3,1,130 ,6,2015,Super lux,Back,"800,000"
